"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BR1";"RS207M";1;"RS207M";;;
2;"C1";"CP_Radial_D16.0mm_P7.50mm";1;"2200uF";;;
3;"C2,C3";"CP_Radial_D5.0mm_P2.00mm";2;"10uF";;;
4;"C4,C5";"CP_Radial_D5.0mm_P2.00mm";2;"0.1uF";;;
5;"D1";"D_DO-41_SOD81_P12.70mm_Horizontal";1;"D";;;
6;"D2,D3";"LED_D5.0mm";2;"LED";;;
7;"F1,F2";"646-SERIESHOLDER";2;"Fuse";;;
8;"J1";"TerminalBlock_Phoenix_MKDS-1,5-12_1x12_P5.00mm_Horizontal";1;"Screw_Terminal_01x12";;;
9;"J3,J4,J5,J7";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";4;"Screw_Terminal_01x02";;;
10;"J6,J2";"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal";2;"Screw_Terminal_01x04";;;
11;"K1,K2";"G2RL-24";2;"G2RL-2-DC12";;;
12;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"470R";;;
13;"R2";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1k";;;
14;"T1";"VPP201000";1;"VPP20-1000";;;
15;"U1";"DIP-20_W7.62mm_Socket";1;"ATtiny2313-20PU";;;
16;"U2";"DIP-16_W7.62mm_Socket";1;"ULN2003";;;
17;"U3";"TO-220-3_Vertical";1;"LM7805_TO220";;;
18;"U4";"TO-220-3_Vertical";1;"LM7812_TO220";;;
